W_Fixing_incoming_lead,W_Filling_in application,W_Calling_after_offers,W_Assessing_application,W_Calling _missing_information,W_Check_for_fraud,case_id,event_nr,remaining_time
0.0,1.0,0.0,0.0,0.0,0.0,201605.0,1.0,2594124.0
0.0,1.0,1.0,0.0,0.0,0.0,201605.0,2.0,1989862.0
0.0,1.0,1.0,1.0,0.0,0.0,201605.0,3.0,616552.0
0.0,1.0,1.0,1.0,1.0,0.0,201605.0,4.0,603868.0
0.0,1.0,1.0,2.0,1.0,0.0,201605.0,5.0,518755.0
0.0,1.0,1.0,2.0,2.0,0.0,201605.0,6.0,503514.0
0.0,1.0,1.0,2.0,3.0,0.0,201605.0,7.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,201568.0,1.0,1991630.0
0.0,1.0,1.0,0.0,0.0,0.0,201568.0,2.0,1815483.0
0.0,1.0,1.0,1.0,0.0,0.0,201568.0,3.0,784031.0
0.0,1.0,1.0,1.0,1.0,0.0,201568.0,4.0,758544.0
0.0,1.0,1.0,2.0,1.0,0.0,201568.0,5.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,201620.0,1.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,201614.0,1.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,201626.0,1.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,201629.0,1.0,90876.0
0.0,2.0,0.0,0.0,0.0,0.0,201629.0,2.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,201617.0,1.0,2670177.0
0.0,2.0,0.0,0.0,0.0,0.0,201617.0,2.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,201635.0,1.0,1128539.0
1.0,1.0,0.0,0.0,0.0,0.0,201635.0,2.0,1125625.0
1.0,1.0,1.0,0.0,0.0,0.0,201635.0,3.0,1124422.0
1.0,1.0,1.0,1.0,0.0,0.0,201635.0,4.0,2245.0
1.0,1.0,1.0,1.0,1.0,0.0,201635.0,5.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,201602.0,1.0,617651.0
0.0,1.0,1.0,0.0,0.0,0.0,201602.0,2.0,450843.0
0.0,1.0,1.0,1.0,0.0,0.0,201602.0,3.0,9161.0
0.0,1.0,1.0,2.0,0.0,0.0,201602.0,4.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,201644.0,1.0,1284786.0
0.0,1.0,1.0,0.0,0.0,0.0,201644.0,2.0,685901.0
0.0,1.0,1.0,1.0,0.0,0.0,201644.0,3.0,165586.0
0.0,1.0,1.0,2.0,0.0,0.0,201644.0,4.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,201662.0,1.0,2409109.0
0.0,1.0,1.0,0.0,0.0,0.0,201662.0,2.0,2385323.0
0.0,1.0,1.0,1.0,0.0,0.0,201662.0,3.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,201665.0,1.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,201671.0,1.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,201674.0,1.0,1732041.0
1.0,1.0,0.0,0.0,0.0,0.0,201674.0,2.0,1726827.0
1.0,1.0,1.0,0.0,0.0,0.0,201674.0,3.0,1726769.0
1.0,1.0,2.0,0.0,0.0,0.0,201674.0,4.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,201695.0,1.0,763008.0
0.0,1.0,1.0,0.0,0.0,0.0,201695.0,2.0,762852.0
0.0,1.0,1.0,1.0,0.0,0.0,201695.0,3.0,5335.0
0.0,1.0,1.0,2.0,0.0,0.0,201695.0,4.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,201668.0,1.0,1799888.0
0.0,1.0,1.0,0.0,0.0,0.0,201668.0,2.0,1207006.0
0.0,1.0,1.0,1.0,0.0,0.0,201668.0,3.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,201680.0,1.0,1710680.0
0.0,1.0,1.0,0.0,0.0,0.0,201680.0,2.0,1707906.0
0.0,1.0,1.0,1.0,0.0,0.0,201680.0,3.0,12981.0
0.0,1.0,1.0,2.0,0.0,0.0,201680.0,4.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,201683.0,1.0,258205.0
0.0,2.0,0.0,0.0,0.0,0.0,201683.0,2.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,201677.0,1.0,2657465.0
0.0,1.0,1.0,0.0,0.0,0.0,201677.0,2.0,2039430.0
0.0,1.0,2.0,0.0,0.0,0.0,201677.0,3.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,201719.0,1.0,757003.0
0.0,1.0,1.0,0.0,0.0,0.0,201719.0,2.0,582722.0
0.0,1.0,1.0,1.0,0.0,0.0,201719.0,3.0,4550.0
0.0,1.0,1.0,1.0,0.0,1.0,201719.0,4.0,2626.0
0.0,1.0,1.0,2.0,0.0,1.0,201719.0,5.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,201716.0,1.0,1790777.0
0.0,1.0,1.0,0.0,0.0,0.0,201716.0,2.0,1713153.0
0.0,1.0,1.0,1.0,0.0,0.0,201716.0,3.0,401899.0
0.0,1.0,1.0,1.0,1.0,0.0,201716.0,4.0,333657.0
0.0,1.0,1.0,2.0,1.0,0.0,201716.0,5.0,3892.0
0.0,1.0,1.0,3.0,1.0,0.0,201716.0,6.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,201689.0,1.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,201692.0,1.0,1202462.0
0.0,1.0,1.0,0.0,0.0,0.0,201692.0,2.0,691384.0
0.0,1.0,1.0,1.0,0.0,0.0,201692.0,3.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,201710.0,1.0,1972023.0
0.0,1.0,1.0,0.0,0.0,0.0,201710.0,2.0,1191979.0
0.0,1.0,1.0,1.0,0.0,0.0,201710.0,3.0,925.0
0.0,1.0,1.0,2.0,0.0,0.0,201710.0,4.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,201725.0,1.0,2581982.0
1.0,1.0,0.0,0.0,0.0,0.0,201725.0,2.0,2569827.0
1.0,1.0,1.0,0.0,0.0,0.0,201725.0,3.0,2569659.0
1.0,1.0,1.0,1.0,0.0,0.0,201725.0,4.0,9480.0
1.0,1.0,1.0,2.0,0.0,0.0,201725.0,5.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,201728.0,1.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,201737.0,1.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,201713.0,1.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,201722.0,1.0,842495.0
0.0,1.0,1.0,0.0,0.0,0.0,201722.0,2.0,841773.0
0.0,1.0,1.0,1.0,0.0,0.0,201722.0,3.0,64142.0
0.0,1.0,1.0,2.0,0.0,0.0,201722.0,4.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,201746.0,1.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,201704.0,1.0,1391783.0
0.0,1.0,1.0,0.0,0.0,0.0,201704.0,2.0,708524.0
0.0,1.0,1.0,1.0,0.0,0.0,201704.0,3.0,2812.0
0.0,1.0,1.0,2.0,0.0,0.0,201704.0,4.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,201755.0,1.0,2086294.0
0.0,1.0,1.0,0.0,0.0,0.0,201755.0,2.0,1408913.0
0.0,1.0,2.0,0.0,0.0,0.0,201755.0,3.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,201701.0,1.0,782775.0
0.0,2.0,0.0,0.0,0.0,0.0,201701.0,2.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,201752.0,1.0,1199876.0
0.0,1.0,1.0,0.0,0.0,0.0,201752.0,2.0,585151.0
0.0,1.0,1.0,1.0,0.0,0.0,201752.0,3.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,201758.0,1.0,1440759.0
0.0,1.0,1.0,0.0,0.0,0.0,201758.0,2.0,1440642.0
0.0,1.0,1.0,1.0,0.0,0.0,201758.0,3.0,156824.0
0.0,1.0,1.0,1.0,1.0,0.0,201758.0,4.0,142362.0
0.0,1.0,1.0,2.0,1.0,0.0,201758.0,5.0,70413.0
0.0,1.0,1.0,3.0,1.0,0.0,201758.0,6.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,201767.0,1.0,5910.0
1.0,1.0,0.0,0.0,0.0,0.0,201767.0,2.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,201779.0,1.0,2308875.0
1.0,1.0,0.0,0.0,0.0,0.0,201779.0,2.0,2306815.0
1.0,1.0,1.0,0.0,0.0,0.0,201779.0,3.0,2306566.0
1.0,1.0,1.0,1.0,0.0,0.0,201779.0,4.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,201776.0,1.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,201761.0,1.0,1781039.0
0.0,1.0,1.0,0.0,0.0,0.0,201761.0,2.0,1780834.0
0.0,1.0,1.0,1.0,0.0,0.0,201761.0,3.0,419535.0
0.0,1.0,1.0,1.0,1.0,0.0,201761.0,4.0,417293.0
0.0,1.0,1.0,2.0,1.0,0.0,201761.0,5.0,82519.0
0.0,1.0,1.0,2.0,2.0,0.0,201761.0,6.0,76128.0
0.0,1.0,1.0,3.0,2.0,0.0,201761.0,7.0,7779.0
0.0,1.0,1.0,3.0,3.0,0.0,201761.0,8.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,201770.0,1.0,2916828.0
0.0,1.0,1.0,0.0,0.0,0.0,201770.0,2.0,2858202.0
0.0,1.0,1.0,1.0,0.0,0.0,201770.0,3.0,252513.0
0.0,1.0,1.0,2.0,0.0,0.0,201770.0,4.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,201749.0,1.0,2470745.0
0.0,1.0,1.0,0.0,0.0,0.0,201749.0,2.0,1707612.0
0.0,1.0,1.0,1.0,0.0,0.0,201749.0,3.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,201740.0,1.0,1701580.0
0.0,1.0,1.0,0.0,0.0,0.0,201740.0,2.0,524398.0
0.0,1.0,1.0,1.0,0.0,0.0,201740.0,3.0,248703.0
0.0,1.0,1.0,1.0,1.0,0.0,201740.0,4.0,243802.0
0.0,1.0,1.0,2.0,1.0,0.0,201740.0,5.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,201743.0,1.0,3677686.0
0.0,1.0,1.0,0.0,0.0,0.0,201743.0,2.0,3676113.0
0.0,1.0,2.0,0.0,0.0,0.0,201743.0,3.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,201797.0,1.0,2639095.0
1.0,1.0,0.0,0.0,0.0,0.0,201797.0,2.0,2636429.0
1.0,2.0,0.0,0.0,0.0,0.0,201797.0,3.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,201800.0,1.0,779815.0
1.0,1.0,0.0,0.0,0.0,0.0,201800.0,2.0,729662.0
1.0,1.0,1.0,0.0,0.0,0.0,201800.0,3.0,698023.0
1.0,1.0,2.0,0.0,0.0,0.0,201800.0,4.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,201794.0,1.0,1971329.0
0.0,1.0,1.0,0.0,0.0,0.0,201794.0,2.0,1289536.0
0.0,1.0,1.0,1.0,0.0,0.0,201794.0,3.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,201812.0,1.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,201782.0,1.0,1257900.0
0.0,1.0,1.0,0.0,0.0,0.0,201782.0,2.0,661309.0
0.0,1.0,1.0,1.0,0.0,0.0,201782.0,3.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,201686.0,1.0,1139516.0
0.0,1.0,1.0,0.0,0.0,0.0,201686.0,2.0,499060.0
0.0,1.0,1.0,1.0,0.0,0.0,201686.0,3.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,201731.0,1.0,15773.0
2.0,0.0,0.0,0.0,0.0,0.0,201731.0,2.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,201857.0,1.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,201851.0,1.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,201815.0,1.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,201842.0,1.0,3369788.0
1.0,1.0,0.0,0.0,0.0,0.0,201842.0,2.0,3368332.0
1.0,1.0,1.0,0.0,0.0,0.0,201842.0,3.0,2054270.0
1.0,1.0,2.0,0.0,0.0,0.0,201842.0,4.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,201830.0,1.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,201833.0,1.0,2601578.0
1.0,1.0,0.0,0.0,0.0,0.0,201833.0,2.0,2600475.0
1.0,1.0,1.0,0.0,0.0,0.0,201833.0,3.0,1961425.0
1.0,1.0,1.0,1.0,0.0,0.0,201833.0,4.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,201839.0,1.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,201836.0,1.0,1907198.0
1.0,1.0,0.0,0.0,0.0,0.0,201836.0,2.0,1905604.0
1.0,1.0,1.0,0.0,0.0,0.0,201836.0,3.0,1797180.0
1.0,1.0,1.0,1.0,0.0,0.0,201836.0,4.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,201854.0,1.0,4860827.0
0.0,1.0,1.0,0.0,0.0,0.0,201854.0,2.0,4223226.0
0.0,1.0,1.0,1.0,0.0,0.0,201854.0,3.0,3639864.0
0.0,1.0,1.0,1.0,1.0,0.0,201854.0,4.0,3624745.0
0.0,1.0,1.0,1.0,2.0,0.0,201854.0,5.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,201879.0,1.0,1316050.0
1.0,1.0,0.0,0.0,0.0,0.0,201879.0,2.0,1315733.0
1.0,1.0,1.0,0.0,0.0,0.0,201879.0,3.0,885731.0
1.0,1.0,1.0,1.0,0.0,0.0,201879.0,4.0,83515.0
1.0,1.0,1.0,2.0,0.0,0.0,201879.0,5.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,201882.0,1.0,2676584.0
1.0,1.0,0.0,0.0,0.0,0.0,201882.0,2.0,2671083.0
1.0,2.0,0.0,0.0,0.0,0.0,201882.0,3.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,201848.0,1.0,2849302.0
0.0,1.0,1.0,0.0,0.0,0.0,201848.0,2.0,1977475.0
0.0,1.0,2.0,0.0,0.0,0.0,201848.0,3.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,201821.0,1.0,610734.0
0.0,1.0,1.0,0.0,0.0,0.0,201821.0,2.0,610636.0
0.0,1.0,2.0,0.0,0.0,0.0,201821.0,3.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,201885.0,1.0,2963244.0
0.0,1.0,1.0,0.0,0.0,0.0,201885.0,2.0,2077587.0
0.0,1.0,2.0,0.0,0.0,0.0,201885.0,3.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,201891.0,1.0,3452022.0
1.0,1.0,0.0,0.0,0.0,0.0,201891.0,2.0,3446497.0
1.0,1.0,1.0,0.0,0.0,0.0,201891.0,3.0,2821623.0
1.0,1.0,2.0,0.0,0.0,0.0,201891.0,4.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,201803.0,1.0,531727.0
0.0,2.0,0.0,0.0,0.0,0.0,201803.0,2.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,201903.0,1.0,81498.0
1.0,1.0,0.0,0.0,0.0,0.0,201903.0,2.0,65165.0
1.0,2.0,0.0,0.0,0.0,0.0,201903.0,3.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,201824.0,1.0,2587134.0
0.0,2.0,0.0,0.0,0.0,0.0,201824.0,2.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,201894.0,1.0,629421.0
0.0,1.0,1.0,0.0,0.0,0.0,201894.0,2.0,626215.0
0.0,1.0,2.0,0.0,0.0,0.0,201894.0,3.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,201900.0,1.0,1292887.0
1.0,1.0,0.0,0.0,0.0,0.0,201900.0,2.0,1291830.0
1.0,1.0,1.0,0.0,0.0,0.0,201900.0,3.0,1258407.0
1.0,1.0,2.0,0.0,0.0,0.0,201900.0,4.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,201906.0,1.0,1760.0
0.0,2.0,0.0,0.0,0.0,0.0,201906.0,2.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,201895.0,1.0,1383090.0
0.0,1.0,1.0,0.0,0.0,0.0,201895.0,2.0,1382936.0
0.0,1.0,1.0,1.0,0.0,0.0,201895.0,3.0,56764.0
0.0,1.0,1.0,1.0,1.0,0.0,201895.0,4.0,2665.0
0.0,1.0,1.0,2.0,1.0,0.0,201895.0,5.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,201909.0,1.0,2932106.0
0.0,1.0,1.0,0.0,0.0,0.0,201909.0,2.0,2930673.0
0.0,1.0,1.0,1.0,0.0,0.0,201909.0,3.0,923125.0
0.0,1.0,1.0,1.0,1.0,0.0,201909.0,4.0,914590.0
0.0,1.0,1.0,2.0,1.0,0.0,201909.0,5.0,649579.0
0.0,1.0,1.0,2.0,2.0,0.0,201909.0,6.0,604713.0
0.0,1.0,1.0,3.0,2.0,0.0,201909.0,7.0,77224.0
0.0,1.0,1.0,4.0,2.0,0.0,201909.0,8.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,201912.0,1.0,482.0
0.0,1.0,1.0,0.0,0.0,0.0,201912.0,2.0,432.0
0.0,1.0,1.0,1.0,0.0,0.0,201912.0,3.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,201915.0,1.0,2670772.0
0.0,1.0,1.0,0.0,0.0,0.0,201915.0,2.0,2044246.0
0.0,1.0,2.0,0.0,0.0,0.0,201915.0,3.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,201888.0,1.0,1136011.0
0.0,1.0,1.0,0.0,0.0,0.0,201888.0,2.0,1019143.0
0.0,1.0,1.0,1.0,0.0,0.0,201888.0,3.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,201921.0,1.0,2670440.0
0.0,2.0,0.0,0.0,0.0,0.0,201921.0,2.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,201918.0,1.0,617909.0
0.0,1.0,1.0,0.0,0.0,0.0,201918.0,2.0,186479.0
0.0,1.0,1.0,1.0,0.0,0.0,201918.0,3.0,32591.0
0.0,1.0,1.0,1.0,1.0,0.0,201918.0,4.0,17279.0
0.0,1.0,1.0,2.0,1.0,0.0,201918.0,5.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,201924.0,1.0,2455.0
1.0,1.0,0.0,0.0,0.0,0.0,201924.0,2.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,201939.0,1.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,201927.0,1.0,2667785.0
0.0,1.0,1.0,0.0,0.0,0.0,201927.0,2.0,2667663.0
0.0,1.0,2.0,0.0,0.0,0.0,201927.0,3.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,201945.0,1.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,201936.0,1.0,2667226.0
0.0,1.0,1.0,0.0,0.0,0.0,201936.0,2.0,2667133.0
0.0,1.0,2.0,0.0,0.0,0.0,201936.0,3.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,201933.0,1.0,2041.0
2.0,0.0,0.0,0.0,0.0,0.0,201933.0,2.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,201966.0,1.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,201942.0,1.0,113516.0
0.0,2.0,0.0,0.0,0.0,0.0,201942.0,2.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,201963.0,1.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,201960.0,1.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,201954.0,1.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,201948.0,1.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,201972.0,1.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,201975.0,1.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,201978.0,1.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,201981.0,1.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,201984.0,1.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,201951.0,1.0,1996782.0
1.0,1.0,0.0,0.0,0.0,0.0,201951.0,2.0,1994808.0
1.0,1.0,1.0,0.0,0.0,0.0,201951.0,3.0,1469359.0
1.0,1.0,1.0,1.0,0.0,0.0,201951.0,4.0,103488.0
1.0,1.0,1.0,1.0,1.0,0.0,201951.0,5.0,91025.0
1.0,1.0,1.0,2.0,1.0,0.0,201951.0,6.0,85180.0
1.0,1.0,1.0,3.0,1.0,0.0,201951.0,7.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,201969.0,1.0,431.0
2.0,0.0,0.0,0.0,0.0,0.0,201969.0,2.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,201993.0,1.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,201987.0,1.0,6018.0
1.0,1.0,0.0,0.0,0.0,0.0,201987.0,2.0,5360.0
1.0,2.0,0.0,0.0,0.0,0.0,201987.0,3.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,201996.0,1.0,332.0
1.0,1.0,0.0,0.0,0.0,0.0,201996.0,2.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,201999.0,1.0,351.0
1.0,1.0,0.0,0.0,0.0,0.0,201999.0,2.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,201990.0,1.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,202002.0,1.0,620225.0
0.0,1.0,1.0,0.0,0.0,0.0,202002.0,2.0,620125.0
0.0,1.0,2.0,0.0,0.0,0.0,202002.0,3.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,201845.0,1.0,1711014.0
0.0,1.0,1.0,0.0,0.0,0.0,201845.0,2.0,1090784.0
0.0,1.0,1.0,1.0,0.0,0.0,201845.0,3.0,500691.0
0.0,1.0,1.0,2.0,0.0,0.0,201845.0,4.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,202011.0,1.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,202005.0,1.0,793356.0
0.0,1.0,1.0,0.0,0.0,0.0,202005.0,2.0,697375.0
0.0,1.0,1.0,1.0,0.0,0.0,202005.0,3.0,8195.0
0.0,1.0,1.0,1.0,1.0,0.0,202005.0,4.0,7001.0
0.0,1.0,1.0,1.0,2.0,0.0,202005.0,5.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,202014.0,1.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,202023.0,1.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,202008.0,1.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,202020.0,1.0,1663294.0
0.0,1.0,1.0,0.0,0.0,0.0,202020.0,2.0,1151187.0
0.0,1.0,1.0,1.0,0.0,0.0,202020.0,3.0,891979.0
0.0,1.0,1.0,1.0,1.0,0.0,202020.0,4.0,884834.0
0.0,1.0,1.0,1.0,2.0,0.0,202020.0,5.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,202038.0,1.0,4425419.0
1.0,1.0,0.0,0.0,0.0,0.0,202038.0,2.0,4424755.0
1.0,1.0,1.0,0.0,0.0,0.0,202038.0,3.0,4342510.0
1.0,1.0,1.0,1.0,0.0,0.0,202038.0,4.0,2633150.0
1.0,1.0,1.0,1.0,1.0,0.0,202038.0,5.0,2624632.0
1.0,1.0,1.0,2.0,1.0,0.0,202038.0,6.0,2001217.0
1.0,1.0,1.0,2.0,2.0,0.0,202038.0,7.0,1924932.0
1.0,1.0,1.0,2.0,3.0,0.0,202038.0,8.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,202032.0,1.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,202039.0,1.0,2655734.0
0.0,2.0,0.0,0.0,0.0,0.0,202039.0,2.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,202026.0,1.0,2522847.0
0.0,1.0,1.0,0.0,0.0,0.0,202026.0,2.0,2522234.0
0.0,1.0,2.0,0.0,0.0,0.0,202026.0,3.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,202029.0,1.0,1098506.0
0.0,1.0,1.0,0.0,0.0,0.0,202029.0,2.0,597342.0
0.0,1.0,1.0,1.0,0.0,0.0,202029.0,3.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,202047.0,1.0,2654407.0
0.0,2.0,0.0,0.0,0.0,0.0,202047.0,2.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,202044.0,1.0,1896783.0
0.0,1.0,1.0,0.0,0.0,0.0,202044.0,2.0,1896464.0
0.0,1.0,1.0,1.0,0.0,0.0,202044.0,3.0,695668.0
0.0,1.0,1.0,1.0,1.0,0.0,202044.0,4.0,179220.0
0.0,1.0,1.0,2.0,1.0,0.0,202044.0,5.0,8456.0
0.0,1.0,1.0,3.0,1.0,0.0,202044.0,6.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,202035.0,1.0,1721473.0
0.0,1.0,1.0,0.0,0.0,0.0,202035.0,2.0,1715438.0
0.0,1.0,1.0,1.0,0.0,0.0,202035.0,3.0,346704.0
0.0,1.0,1.0,1.0,1.0,0.0,202035.0,4.0,346530.0
0.0,1.0,1.0,2.0,1.0,0.0,202035.0,5.0,344081.0
0.0,1.0,1.0,2.0,2.0,0.0,202035.0,6.0,341225.0
0.0,1.0,1.0,3.0,2.0,0.0,202035.0,7.0,94484.0
0.0,1.0,1.0,3.0,3.0,0.0,202035.0,8.0,86992.0
